time,open,high,low,close,volume
1730346300,1745.2,1752.0,1737.4,1747.1,33669
1730346600,1747.5,1749.7,1740.5,1742.85,9587
1730346900,1742.85,1742.85,1736.2,1736.2,8955
1730347200,1736.7,1736.95,1733.05,1735.45,8267
1730347500,1735.4,1736.85,1732.0,1736.3,12600
1730347800,1736.55,1740.7,1735.2,1739.2,16485
1730348100,1739.2,1744.4,1737.9,1743.7,8506
1730348400,1743.75,1744.8,1741.0,1743.7,3571
1730348700,1743.65,1748.75,1743.1,1748.75,9441
1730349000,1748.05,1749.65,1745.85,1747.3,3635
1730349300,1747.25,1747.25,1745.05,1745.65,2072
1730349600,1745.85,1747.6,1745.0,1745.1,4676
1730349900,1745.1,1745.45,1741.0,1742.8,5995
1730350200,1742.8,1743.2,1742.0,1742.35,1032
1730350500,1742.75,1743.4,1740.45,1740.75,2531
1730350800,1740.45,1740.75,1736.3,1737.0,4401
1730351100,1736.1,1737.45,1735.05,1736.45,4544
1730351400,1736.8,1736.9,1733.0,1733.05,5727
1730351700,1733.0,1735.55,1732.15,1733.3,5980
1730352000,1733.25,1735.95,1732.45,1734.25,4104
1730352300,1734.25,1737.55,1733.0,1733.2,10618
1730352600,1733.8,1735.55,1732.0,1733.6,11194
1730352900,1733.65,1734.25,1729.15,1729.2,9039
1730353200,1729.95,1729.95,1725.05,1726.45,8487
1730353500,1726.45,1730.55,1726.35,1728.0,26975
1730353800,1728.7,1733.4,1728.0,1732.05,19172
1730354100,1732.3,1736.4,1731.0,1735.1,9706
1730354400,1735.1,1738.2,1734.0,1738.05,8526
1730354700,1737.75,1740.15,1737.15,1739.1,9173
1730355000,1739.1,1741.85,1738.75,1741.0,5889
1730355300,1740.25,1741.0,1739.3,1739.95,2921
1730355600,1739.95,1742.45,1738.9,1741.85,7797
1730355900,1741.8,1743.55,1741.4,1742.2,4538
1730356200,1742.2,1743.0,1740.75,1743.0,7077
1730356500,1742.85,1743.65,1742.2,1742.8,1190
1730356800,1742.8,1743.45,1741.55,1743.15,3568
1730357100,1743.15,1743.15,1741.05,1741.5,1545
1730357400,1741.5,1741.75,1740.4,1740.7,4177
1730357700,1741.0,1741.5,1740.05,1741.5,3951
1730358000,1741.55,1741.8,1740.0,1741.3,5557
1730358300,1740.5,1741.9,1740.0,1741.05,3997
1730358600,1740.45,1743.5,1740.35,1743.5,3600
1730358900,1743.55,1745.8,1742.9,1743.7,5908
1730359200,1743.25,1743.55,1741.55,1743.0,3242
1730359500,1742.4,1743.35,1741.05,1742.2,3258
1730359800,1741.65,1742.2,1739.45,1740.15,5801
1730360100,1740.15,1742.25,1739.6,1742.1,4379
1730360400,1741.45,1742.4,1740.9,1742.3,2426
1730360700,1741.6,1743.5,1740.6,1743.5,8165
1730361000,1743.05,1745.5,1741.05,1745.5,21352
1730361300,1745.0,1746.2,1743.6,1746.2,19739
1730361600,1746.2,1746.9,1745.35,1745.95,3128
1730361900,1745.6,1746.15,1744.75,1746.05,3014
1730362200,1745.8,1746.0,1745.0,1745.45,1688
1730362500,1745.65,1746.45,1744.0,1745.15,4976
1730362800,1745.15,1747.65,1745.0,1746.8,7595
1730363100,1746.75,1747.7,1745.0,1745.65,5922
1730363400,1745.65,1746.2,1740.3,1740.8,15361
1730363700,1740.25,1742.1,1738.0,1740.35,15064
1730364000,1739.65,1741.0,1736.05,1739.85,11674
1730364300,1740.35,1741.15,1739.05,1740.05,7806
1730364600,1740.0,1740.75,1739.45,1740.3,5015
1730364900,1740.3,1743.95,1740.2,1742.15,3069
1730365200,1742.15,1745.55,1740.95,1745.05,29132
1730365500,1745.15,1747.45,1744.65,1746.2,17171
1730365800,1746.2,1748.85,1745.0,1748.05,32390
1730366100,1748.0,1749.0,1748.0,1748.05,3685
1730366400,1748.05,1750.0,1747.5,1747.5,18916
1730366700,1747.5,1749.4,1745.25,1749.3,26777
1730367000,1749.2,1751.35,1748.0,1749.15,46037
1730367300,1749.15,1754.6,1748.55,1751.55,45328
1730367600,1752.15,1754.85,1750.5,1751.0,32616
1730367900,1751.0,1754.45,1750.05,1751.35,47321
1730368200,1751.45,1751.45,1746.2,1750.2,53013
1730368500,1750.2,1755.0,1748.0,1748.0,33624
